Keys                            Command
Ctrl+q                          reset simulation
spacebar                        toggle gripper (open/close)
up-right-down-left              move horizontally in x-y plane
.-;                             move vertically
o-p                             rotate (yaw)
y-h                             rotate (pitch)
e-r                             rotate (roll)
b                               toggle arm/base mode (if applicable)
s                               switch active arm (if multi-armed robot)
=                               switch active robot (if multi-robot environment)
